iter	RMSEWithUncertainty
0	-0.8169508189
1	-0.8606744443
2	-0.9026554012
3	-0.9277205233
4	-0.958459129
5	-0.9856627609
6	-1.007335712
7	-1.031693558
8	-1.058841297
9	-1.086863712
10	-1.110858274
11	-1.129824575
12	-1.156307917
13	-1.176451256
14	-1.199372487
15	-1.221348225
16	-1.244413117
17	-1.26693006
18	-1.286385595
19	-1.309634158
20	-1.327937546
21	-1.344396683
22	-1.365312835
23	-1.382476701
24	-1.401977591
25	-1.416919587
26	-1.435950233
27	-1.454571819
28	-1.479135475
29	-1.494006864
30	-1.50984566
31	-1.525579091
32	-1.541350819
33	-1.559576035
34	-1.578010629
35	-1.600790042
36	-1.620069754
37	-1.633215095
38	-1.656809301
39	-1.67273632
40	-1.68663493
41	-1.711114743
42	-1.73610065
43	-1.7547771
44	-1.769841136
45	-1.786120595
46	-1.802569733
47	-1.824239273
48	-1.841585227
49	-1.854431762
50	-1.868091932
51	-1.886076574
52	-1.900107555
53	-1.913133329
54	-1.931533732
55	-1.951896236
56	-1.964862413
57	-1.983613924
58	-1.998573646
59	-2.020004758
60	-2.036177154
61	-2.050714587
62	-2.061102555
63	-2.074987377
64	-2.099839958
65	-2.116402868
66	-2.127752956
67	-2.147413559
68	-2.165029783
69	-2.176563391
70	-2.189867161
71	-2.206195205
72	-2.219458021
73	-2.22836556
74	-2.240944488
75	-2.251215236
76	-2.264995656
77	-2.273131248
78	-2.282615051
79	-2.29692054
80	-2.323155443
81	-2.333696856
82	-2.357762886
83	-2.372673699
84	-2.381234038
85	-2.401355964
86	-2.413696956
87	-2.433967748
88	-2.449468453
89	-2.459480137
90	-2.477366568
91	-2.484530912
92	-2.494842016
93	-2.505985724
94	-2.516965331
95	-2.531485957
96	-2.538524321
97	-2.562971942
98	-2.570243392
99	-2.582660646
100	-2.589537237
101	-2.599319016
102	-2.609283445
103	-2.620161173
104	-2.627026514
105	-2.642222558
106	-2.656722114
107	-2.665997947
108	-2.677486062
109	-2.688416896
110	-2.70562548
111	-2.723355861
112	-2.739101242
113	-2.748659706
114	-2.75774893
115	-2.767853056
116	-2.786834018
117	-2.804616193
118	-2.823235379
119	-2.830865827
120	-2.844365595
121	-2.857958369
122	-2.86653307
123	-2.885442201
124	-2.895891467
125	-2.911132589
126	-2.930411316
127	-2.940441962
128	-2.947085843
129	-2.953672993
130	-2.97168183
131	-2.983404705
132	-2.988895096
133	-2.997325891
134	-3.009385073
135	-3.020916225
136	-3.026488607
137	-3.035064785
138	-3.040703311
139	-3.050937112
140	-3.067972607
141	-3.074361241
142	-3.0880367
143	-3.095079263
144	-3.102711552
145	-3.116391797
146	-3.128956781
147	-3.144846397
148	-3.149718852
149	-3.162639072
150	-3.178549124
151	-3.187675638
152	-3.19429385
153	-3.200424138
154	-3.210257643
155	-3.217055435
156	-3.222765516
157	-3.233610789
158	-3.238336905
159	-3.249012433
160	-3.256949233
161	-3.264903822
162	-3.270916572
163	-3.280453814
164	-3.289539334
165	-3.294424023
166	-3.302411387
167	-3.311020189
168	-3.318829583
169	-3.326104883
170	-3.331798111
171	-3.337453266
172	-3.348283973
173	-3.355825181
174	-3.361304533
175	-3.367703047
176	-3.373337932
177	-3.380062325
178	-3.387187141
179	-3.394104637
