iter	RMSEWithUncertainty
0	-0.8481278209
1	-0.9513155629
2	-1.032820829
3	-1.091981476
4	-1.16996969
5	-1.2414181
6	-1.301176572
7	-1.366860515
8	-1.442399559
9	-1.526940209
10	-1.595413418
11	-1.663709033
12	-1.729800518
13	-1.784908433
14	-1.834346001
15	-1.901944467
16	-1.966036634
17	-2.019044661
18	-2.089435357
19	-2.13940563
20	-2.210198795
21	-2.261104156
22	-2.306884408
23	-2.350574291
24	-2.393906981
25	-2.430116674
26	-2.475569344
27	-2.50961141
28	-2.559545553
29	-2.588571882
30	-2.615010845
31	-2.659776613
32	-2.679564206
33	-2.700894956
34	-2.724005197
35	-2.748765726
36	-2.787442534
37	-2.805947919
38	-2.840372135
39	-2.870120615
40	-2.885267669
41	-2.910477908
42	-2.929960446
43	-2.948842352
44	-2.957891177
45	-2.977283112
46	-2.989978688
47	-3.014903355
48	-3.039596202
49	-3.053562934
50	-3.066907295
51	-3.087876588
52	-3.107243309
53	-3.123800876
54	-3.136831824
55	-3.147746414
56	-3.172359393
57	-3.183701051
58	-3.198411751
59	-3.212628591
60	-3.219534079
61	-3.230233968
62	-3.240597052
63	-3.251436461
64	-3.261876439
65	-3.270134833
66	-3.277221552
67	-3.285577494
68	-3.290577422
69	-3.300209403
70	-3.307976329
71	-3.323750186
72	-3.330548421
73	-3.338883863
74	-3.346388105
75	-3.354609785
76	-3.362592386
77	-3.369710511
78	-3.37999576
79	-3.38758611
80	-3.39542158
81	-3.402326837
82	-3.407906036
83	-3.413571288
84	-3.428836266
85	-3.437604243
86	-3.440721705
87	-3.445892642
88	-3.451845827
89	-3.456093811
90	-3.462252269
91	-3.465014617
92	-3.469674389
93	-3.473080241
94	-3.483928037
95	-3.489998952
96	-3.49878578
97	-3.507399745
98	-3.513893339
99	-3.522980053
100	-3.527302848
101	-3.533834609
102	-3.536957698
103	-3.54382787
104	-3.547763184
105	-3.550235097
106	-3.556077237
107	-3.560375104
108	-3.569099165
109	-3.57441434
110	-3.580793932
111	-3.586066511
112	-3.593814792
113	-3.598450137
114	-3.604149742
115	-3.608323372
116	-3.611851806
117	-3.620321188
118	-3.622987946
119	-3.628415201
120	-3.633348802
121	-3.636539871
122	-3.63860795
123	-3.645623357
124	-3.648766059
125	-3.650578176
126	-3.651897983
127	-3.653338734
128	-3.654172869
129	-3.659977014
130	-3.665818889
131	-3.668844147
132	-3.674715681
133	-3.678063008
134	-3.682563205
135	-3.684652525
136	-3.689021019
137	-3.692763812
138	-3.695653795
139	-3.700213176
