iter	Passed	Remaining
0	9	1262
1	10	727
2	12	552
3	13	465
4	15	410
5	16	374
6	18	346
7	19	326
8	21	309
9	22	294
10	24	282
11	25	272
12	26	263
13	28	255
14	29	247
15	31	241
16	32	236
17	34	231
18	35	226
19	37	222
20	38	215
21	39	211
22	40	207
23	42	204
24	43	201
25	45	198
26	46	195
27	48	192
28	49	190
29	51	187
30	52	184
31	53	181
32	54	177
33	56	174
34	57	172
35	58	170
36	60	168
37	61	166
38	63	163
39	64	161
40	66	159
41	67	157
42	69	155
43	70	153
44	71	151
45	73	149
46	74	147
47	76	145
48	77	143
49	78	142
50	80	140
51	81	138
52	83	136
53	84	134
54	86	133
55	87	131
56	89	129
57	90	128
58	92	126
59	93	124
60	95	123
61	96	121
62	98	119
63	99	118
64	100	116
65	102	114
66	103	112
67	104	110
68	106	109
69	107	107
70	108	105
71	110	103
72	111	102
73	112	100
74	114	98
75	115	97
76	117	95
77	118	94
78	119	92
79	121	90
80	122	89
81	124	87
82	125	86
83	126	84
84	128	82
85	129	81
86	130	79
87	132	78
88	133	76
89	134	74
90	136	73
91	137	71
92	138	70
93	140	68
94	141	67
95	142	65
96	144	63
97	145	62
98	146	60
99	148	59
100	149	57
101	150	56
102	152	54
103	153	53
104	154	51
105	156	50
106	157	48
107	158	47
108	160	45
109	161	44
110	162	42
111	164	41
112	165	39
113	166	37
114	167	36
115	169	35
116	170	33
117	172	32
118	173	30
119	174	29
120	176	27
121	177	26
122	178	24
123	180	23
124	181	21
125	183	20
126	184	18
127	185	17
128	187	15
129	188	14
130	189	13
131	190	11
132	192	10
133	193	8
134	194	7
135	196	5
136	197	4
137	199	2
138	200	1
139	201	0
